iter	Passed	Remaining
611	100374	63636
612	100477	63433
613	100629	63262
614	100767	63082
615	100892	62894
616	101018	62706
617	101152	62524
618	101282	62340
619	101411	62155
620	101550	61976
621	101687	61797
622	101813	61610
623	101949	61431
624	102088	61253
625	102192	61054
626	102320	60870
627	102445	60684
628	102573	60500
629	102703	60317
630	102836	60137
631	102973	59959
632	103115	59784
633	103239	59598
634	103375	59420
635	103505	59239
636	103667	59076
637	103785	58887
638	103916	58707
639	104039	58522
640	104265	58395
641	104384	58208
642	104519	58030
643	104653	57851
644	104789	57674
645	104920	57495
646	105043	57311
647	105177	57133
648	105309	56954
649	105417	56763
650	105548	56584
651	105668	56399
652	105796	56219
653	105921	56038
654	106034	55850
655	106170	55674
656	106310	55501
657	106435	55320
658	106551	55135
659	106679	54956
660	106813	54780
661	106946	54603
662	107069	54422
663	107185	54238
664	107302	54054
665	107428	53875
666	107553	53696
667	107699	53527
668	107823	53347
669	107934	53161
670	108076	52991
671	108225	52824
672	108358	52649
673	108500	52479
674	108624	52300
675	108734	52115
676	108872	51943
677	108981	51758
678	109123	51588
679	109248	51411
680	109375	51234
681	109504	51059
682	109625	50880
683	109760	50707
684	109936	50554
685	110064	50379
686	110193	50204
687	110326	50031
688	110490	49873
689	110670	49721
690	110831	49561
691	111005	49406
692	111313	49311
693	111559	49189
694	111764	49047
695	112007	48922
696	112200	48775
697	112489	48670
698	112737	48546
699	112996	48427
700	113210	48288
701	113405	48140
702	113553	47973
703	113696	47804
704	113824	47628
705	113944	47450
706	114085	47280
707	114291	47137
708	114418	46961
709	114574	46797
710	114733	46635
711	114867	46463
712	115007	46293
713	115170	46132
714	115363	45984
715	115591	45849
716	115812	45711
717	115986	45554
718	116135	45388
719	116290	45224
720	116454	45063
721	116672	44923
722	116870	44775
723	117073	44630
724	117239	44470
725	117466	44333
726	117700	44198
727	117942	44066
728	118169	43928
729	118312	43759
730	118581	43636
731	118872	43521
732	119188	43415
733	119461	43292
734	119759	43178
735	120232	43126
736	120588	43032
737	120845	42901
738	121105	42772
739	121378	42646
740	121866	42595
741	122100	42455
742	122369	42326
743	122619	42191
744	122846	42048
745	123060	41900
746	123258	41746
747	123485	41602
748	123721	41460
749	124096	41365
750	124373	41236
751	125010	41226
752	125299	41100
753	125667	41000
754	125977	40880
755	126404	40797
756	126714	40675
757	126964	40534
758	127190	40386
759	127336	40211
760	127586	40070
761	127888	39944
762	128080	39783
763	128236	39612
764	128406	39445
765	128656	39302
766	128907	39159
767	129091	38996
768	129260	38828
769	129448	38666
770	129692	38520
771	129999	38393
772	130247	38248
773	130459	38092
774	130634	37926
775	130826	37764
776	130988	37593
777	131197	37436
778	131346	37262
779	131574	37110
780	131833	36967
781	132172	36846
782	132452	36707
783	132663	36550
784	132857	36387
785	133063	36228
786	133245	36062
787	133431	35897
788	133611	35731
789	133782	35562
790	134070	35424
791	134320	35276
792	134517	35113
793	134729	34955
794	134928	34792
795	135094	34622
796	135247	34448
797	135417	34278
798	135638	34121
799	135842	33960
800	136113	33816
801	136421	33680
802	136554	33500
803	136716	33328
804	136860	33152
805	137055	32988
806	137195	32811
807	137338	32634
808	137499	32462
809	137645	32287
810	137783	32109
811	137949	31938
812	138094	31763
813	138256	31591
814	138407	31417
815	138557	31243
816	138707	31069
817	138861	30895
818	139003	30719
819	139182	30552
820	139312	30373
821	139499	30207
822	139620	30027
823	139772	29854
824	139924	29680
825	140071	29506
826	140205	29329
827	140355	29156
828	140507	28982
829	140649	28807
830	140843	28643
831	141008	28472
832	141145	28296
833	141316	28127
834	141461	27953
835	141597	27777
836	141739	27602
837	141888	27429
838	142019	27252
839	142154	27077
840	142273	26898
841	142409	26723
842	142549	26548
843	142711	26378
844	142841	26201
845	142982	26027
846	143112	25851
847	143234	25674
848	143357	25497
849	143481	25320
850	143588	25140
851	143714	24964
852	143832	24787
853	143959	24611
854	144091	24436
855	144234	24263
856	144362	24088
857	144512	23917
858	144648	23743
859	144769	23567
860	144893	23391
861	145045	23220
862	145177	23046
863	145328	22875
864	145467	22702
865	145586	22527
866	145730	22355
867	145857	22181
868	145978	22005
869	146102	21831
870	146242	21659
871	146368	21485
872	146502	21312
873	146651	21141
874	146814	20973
875	146917	20796
876	147047	20623
877	147173	20450
878	147301	20276
879	147431	20104
880	147550	19930
881	147694	19759
882	147824	19587
883	147949	19414
884	148076	19241
885	148184	19066
886	148316	18894
887	148447	18723
888	148598	18553
889	148724	18381
890	148853	18209
891	149003	18040
892	149129	17868
893	149280	17699
894	149414	17529
895	149547	17358
896	149706	17190
897	149829	17018
898	149957	16847
